Kenteken,Brandstof omschrijving,Datum eerste afgifte Nederland,cumhelp,Cumulative
J193VX,Waterstof,2020-12-03,1,143
J191VX,Waterstof,2020-12-03,1,144
J197VX,Waterstof,2020-12-03,1,145
K963FL,Waterstof,2020-12-05,1,146
K387GB,Waterstof,2020-12-08,1,147
K251GG,Waterstof,2020-12-09,1,148
J098DX,Waterstof,2020-12-19,1,149
H643RF,Waterstof,2020-12-21,1,150
H617SL,Waterstof,2020-12-24,1,151
H616SL,Waterstof,2020-12-24,1,152
H492RL,Waterstof,2020-12-24,1,153
J472KX,Waterstof,2020-12-24,1,154
H615SL,Waterstof,2020-12-24,1,155
H722KF,Waterstof,2020-12-24,1,156
H620SL,Waterstof,2020-12-24,1,157
H619SL,Waterstof,2020-12-24,1,158
J468KX,Waterstof,2020-12-24,1,159
J807HB,Waterstof,2020-12-24,1,160
K785GX,Waterstof,2020-12-24,1,161
H622SL,Waterstof,2020-12-24,1,162
H618SL,Waterstof,2020-12-24,1,163
J457KX,Waterstof,2020-12-28,1,164
J476KX,Waterstof,2020-12-28,1,165
K962FL,Waterstof,2020-12-28,1,166
J461KX,Waterstof,2020-12-29,1,167
J460KX,Waterstof,2020-12-29,1,168
K541JZ,Waterstof,2020-12-29,1,169
J815HB,Waterstof,2020-12-30,1,170
K322GR,Waterstof,2020-12-30,1,171
K324GR,Waterstof,2020-12-30,1,172
K321GR,Waterstof,2020-12-30,1,173
K323GR,Waterstof,2020-12-30,1,174
J813HB,Waterstof,2020-12-30,1,175
K552JZ,Waterstof,2020-12-31,1,176
K549JZ,Waterstof,2020-12-31,1,177
K537JZ,Waterstof,2020-12-31,1,178
K548JZ,Waterstof,2020-12-31,1,179
K550JZ,Waterstof,2020-12-31,1,180
K538JZ,Waterstof,2020-12-31,1,181
J814HB,Waterstof,2020-12-31,1,182
K542JZ,Waterstof,2020-12-31,1,183
J474KX,Waterstof,2020-12-31,1,184
K540JZ,Waterstof,2020-12-31,1,185
