Kenteken,Brandstof omschrijving,Datum eerste afgifte Nederland,cumhelp,Cumulative
93BPS7,LNG,2020-09-15,1,150
92BPS7,LNG,2020-09-15,1,151
52BPT3,LNG,2020-09-17,1,152
53BPT3,LNG,2020-09-17,1,153
57BPT3,LNG,2020-09-18,1,154
50BPT6,LNG,2020-09-21,1,155
27BPT7,LNG,2020-09-21,1,156
85BPT7,LNG,2020-09-22,1,157
85BPS6,LNG,2020-09-22,1,158
25BPT7,LNG,2020-09-28,1,159
52BPT6,LNG,2020-09-28,1,160
07BPT8,LNG,2020-09-28,1,161
60BPR6,LNG,2020-09-29,1,162
31BPT8,LNG,2020-09-30,1,163
27BPV1,LNG,2020-09-30,1,164
61BPT6,LNG,2020-10-01,1,165
55BPT6,LNG,2020-10-01,1,166
58BPT6,LNG,2020-10-01,1,167
81BPV4,LNG,2020-10-02,1,168
08BPT8,LNG,2020-10-05,1,169
43BPX1,LNG,2020-10-08,1,170
07BPX1,LNG,2020-10-08,1,171
22BPT6,LNG,2020-10-12,1,172
44BPX2,LNG,2020-10-21,1,173
36BPV2,LNG,2020-10-22,1,174
14BPT1,LNG,2020-10-22,1,175
43BPX2,LNG,2020-10-26,1,176
24BPV1,LNG,2020-10-26,1,177
34BPX7,LNG,2020-10-30,1,178
15BPX8,LNG,2020-10-30,1,179
33BPX7,LNG,2020-10-30,1,180
31BPX2,LNG,2020-10-30,1,181
22BPZ2,LNG,2020-11-02,1,182
49BPV5,LNG,2020-11-06,1,183
14BPX8,LNG,2020-11-06,1,184
49BPZ4,LNG,2020-11-09,1,185
17BPX8,LNG,2020-11-09,1,186
18BPX8,LNG,2020-11-09,1,187
48BPZ1,LNG,2020-11-11,1,188
45BPZ1,LNG,2020-11-11,1,189
16BPZ4,LNG,2020-11-13,1,190
93BPZ3,LNG,2020-11-13,1,191
05BPZ4,LNG,2020-11-16,1,192
05BPZ7,LNG,2020-11-18,1,193
44BPZ2,LNG,2020-11-19,1,194
46BPZ1,LNG,2020-11-20,1,195
47BPZ1,LNG,2020-11-20,1,196
57BPZ2,LNG,2020-11-20,1,197
11BRB1,LNG,2020-11-26,1,198
10BRB1,LNG,2020-11-26,1,199
99BPZ8,LNG,2020-11-26,1,200
71BRB5,LNG,2020-11-27,1,201
28BPZ2,LNG,2020-11-27,1,202
27BPZ2,LNG,2020-11-27,1,203
78BPZ6,LNG,2020-11-30,1,204
14BRB3,LNG,2020-11-30,1,205
34BPZ5,LNG,2020-11-30,1,206
97BPZ3,LNG,2020-12-02,1,207
37BRB8,LNG,2020-12-03,1,208
11BRB3,LNG,2020-12-03,1,209
98BRB6,LNG,2020-12-04,1,210
94BRB6,LNG,2020-12-04,1,211
17BRB1,LNG,2020-12-04,1,212
95BRB6,LNG,2020-12-04,1,213
96BRB6,LNG,2020-12-04,1,214
92BRB6,LNG,2020-12-04,1,215
90BRB6,LNG,2020-12-04,1,216
93BRB6,LNG,2020-12-04,1,217
10BPZ7,LNG,2020-12-09,1,218
62BRD1,LNG,2020-12-09,1,219
11BPZ7,LNG,2020-12-09,1,220
61BRD1,LNG,2020-12-09,1,221
81BRB9,LNG,2020-12-15,1,222
79BRB9,LNG,2020-12-15,1,223
03BRD4,LNG,2020-12-18,1,224
73BPZ5,LNG,2020-12-18,1,225
